start,end,id,total_len,country,mode,devicetype,language,consent,relationship,income_reference,income_year,income_month,income_week,country_birth_mother,country_birth_father,country_birth_partner,municipality_years,children_hh,children_out,childr_n_0to5,childr_n_6to15,others_n,grandchildren,pets__1,pets__2,pets__3,pets__4,pets__5,pets__6,contract,worklife_balance,telework,rand1,loneliness_djg_a,loneliness_djg_b,loneliness_djg_c,loneliness_djg_d,loneliness_djg_e,loneliness_djg_f,family_meet_face,family_meet_tele,family_n__1,family_n__1__open,friends_meet_face,friends_meet_tele,friends_n__1,friends_n__1__open,neighbours,social_support_a,social_support_b,social_support_c,social_support_d,relationship_happiness,social_activities_a,social_activities_b,social_activities_c,loneliness_ucla_a,loneliness_ucla_b,loneliness_ucla_c,relationship_need,loneliness_direct,loneliness_intensity,life_events__1,life_events__2,life_events__3,life_events__4,life_events__5,life_events__6,life_events__7,life_events__8,life_events__9,life_events__10,life_events__11,life_events__12,lost_spouse,interventions_heard,interventions_done__1,interventions_done__2,interventions_done__3,interventions_done__4,interventions_done__5,interventions_done__6,interventions_done__7,interventions_done__8,interventions_done__9,interventions_done__10,interventions_done__11,interventions_done__12,interventions_done__13,interventions_done__14,interventions_done__15,interventions_done__16,loneliness_work_a,loneliness_work_b,loneliness_work_c,loneliness_education_a,loneliness_education_b,loneliness_education_c,loneliness_stigma1,loneliness_stigma2,sm_purpose_a,sm_purpose_b,sm_purpose_c,sm_purpose_d,sm_purpose_e,sm_time_a,sm_time_b,sm_time_c,sm_time_d,feelings_nerv,feelings_hopel,feelings_restl,feelings_depr,feelings_worthl,risk_a,risk_b,risk_c,civic_attitudes_a,civic_attitudes_b,civic_attitudes_c,trust,vote,vote_open,child_health,child_health_relatives_1,child_health_relatives_2,child_health_relatives_3,child_health_relatives_4,child_health_relatives_5,child_health_relatives_6,child_relationship_a,child_relationship_b,child_friends,religion_child,religion_now,health_general,smoking,gender,date_birth_month,date_birth_year,age,age_class,country_birth_yourself,sex_orientation,education,adults_n,region_residence,municipality_type,work_status,main_job,occupation,nace_sector,income_source,exercise,health_condition,health_condition_intensity,w_country,w_country_5,w_design
06 Dec 22,06 Dec 22,11,1670.66,21,1,1,pl,1,5,2,,2,,33,33,,40,0,3,0,0,0,3,,,,,5,,,,,2,3,3,3,1,2,1,4,5,1,3,4,5,1,3,2,998,2,4,2,,1,1,1,2,1,2,3,5,,,,,,,,,,,,11,,2,1,,,,,,,,,,,,,,,,,,,,,,,2,3,1,1,1,1,1,1,1,1,1,5,6,4,5,6,6,5,5,7,5,1,6,337,,1,1,,,,,,10,9,1,2,5,1,3,1,4,1953,69,6,33,1,4,1,103,2,6,,,,3,3,1,3,3.0000999,3.000098,1.000641
06 Dec 22,06 Dec 22,12,1343.653,21,1,1,pl,1,3,2,,4,,33,33,33,32,0,2,0,0,0,2,1,,,,,,,,,1,3,3,3,2,1,1,3,3,1,6,3,4,1,4,2,3,5,3,5,10,1,1,1,1,1,1,3,5,,,,,,,,,,,,11,,,2,,,,,,,,,,,,,,,,,,,,,,,1,2,3,1,3,2,2,3,3,3,1,3,3,3,6,3,5,1,9,8,8,9,9,339,,1,1,2,,,,,10,1,1,4,5,3,1,1,6,1953,69,6,33,1,4,2,103,2,6,,,,3,3,1,2,3.0000999,3.000098,1.000641
06 Dec 22,06 Dec 22,13,1885.499,27,2,2,sv,1,1,2,,1,,41,41,,30,0,0,0,0,1,1,,,,,,6,,,,2,2,999,999,2,2,999,6,6,999,,5,5,999,,2,999,999,3,999,,999,3,1,2,999,2,999,4,4,,,,4,,,7,,,10,,,,2,1,2,3,,,,,,,10,11,,,,,,,,,,,,998,3,6,6,2,6,999,8,8,999,8,3,4,3,3,4,7,6,7,2,2,5,7,999,,2,,,,,,999,10,10,3,4,4,2,3,1,3,1990,32,2,41,1,4,1,134,2,3,,,,1,3,2,,1.3402647,3.0000975,1.1433755
06 Dec 22,06 Dec 22,14,1623.666,21,2,1,pl,1,1,2,,4,,33,33,,38,0,0,0,0,0,1,,,,,,6,,,,2,3,3,3,2,2,2,1,2,1,4,6,6,1,3,1,1,2,2,2,,4,1,1,999,1,1,5,3,4,,,,,,,7,,,,,,,2,,,,,,6,,,,,,,,,,,,,,,,,1,2,2,2,2,1,2,2,1,1,2,3,3,3,3,3,1,2,3,5,10,5,2,337,,3,,,,,5,,10,10,2,2,2,5,3,1,2,1956,66,6,33,999,4,1,107,3,6,,,,3,998,999,,3.0000999,3.000098,1.1541485
06 Dec 22,06 Dec 22,15,974.31,27,2,2,sv,1,3,2,,7,,41,41,41,33,1,0,1,0,0,1,1,2,,,,,1,5,2,1,3,3,3,2,2,1,6,6,999,,4,7,1,2,6,4,4,4,4,8,1,1,1,2,2,2,4,5,,,,,,,,,,,10,,,,998,,,,,,,,,,,,,,,,,997,997,5,,,,1,3,5,5,1,4,3,5,3,5,5,3,3,3,3,5,7,4,7,5,1,5,2,998,,1,,,,,5,,10,10,1,5,5,3,2,1,8,1989,33,2,41,1,4,2,135,1,1,2,7,4,1,1,2,,1.5043831,.92388201,1.1433755
05 Dec 22,05 Dec 22,16,1250.887,15,2,2,it,1,1,2,,5,,999,999,,40,0,0,0,0,0,1,,,,,,6,,,,2,3,3,3,1,2,1,3,6,1,4,4,6,1,3,1,5,5,3,4,,999,5,5,1,1,1,7,5,,,,,,,,7,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,3,2,2,3,2,3,3,2,1,1,5,6,5,6,5,4,5,7,9,8,8,6,999,,3,,,,,5,,8,5,3,2,2,3,3,2,8,1939,83,6,20,1,7,1,75,1,6,,,,3,1,2,,.49673426,.37977576,.97211981
05 Dec 22,05 Dec 22,17,832.40002,27,2,2,sv,1,3,2,,5,,41,41,41,36,2,0,2,0,0,1,1,,,,,,1,4,2,1,1,1,1,3,3,3,6,5,999,,3,3,999,,3,3,1,1,3,8,1,2,3,3,3,3,3,3,5,,,,,,,,8,,,,,,998,,2,,,,,,,,10,,,,,,,2,2,4,,,,998,998,2,2,4,2,1,3,2,1,3,3,3,2,2,3,9,4,4,3,2,3,4,374,,3,,,,,5,,7,6,3,5,5,5,3,1,8,1986,36,3,41,1,4,2,133,1,1,2,6,998,1,2,2,,1.3138235,1.6880987,1.1648675
05 Dec 22,05 Dec 22,18,1003.947,27,2,1,sv,1,3,2,,10,,15,15,41,25,0,2,0,0,0,1,,,,,,6,,9,2,1,3,2,3,1,1,2,2,5,1,8,2,2,1,4,1,5,4,4,5,9,4,2,3,2,2,2,4,5,,,,,,,,,,,,11,,,2,,,,,,,,,,,,,,,,,5,1,,,,,2,3,1,1,2,1,2,1,2,1,2,3,3,3,3,6,5,6,4,10,9,9,8,377,,1,1,,,,,,7,8,2,3,3,2,3,2,4,1968,54,4,15,1,9,2,134,3,1,3,1,7,1,6,2,,.75063848,.48896429,.86551613
05 Dec 22,05 Dec 22,19,1422.6479,15,2,1,it,1,2,2,,4,,20,20,20,58,1,0,0,0,0,1,1,,,,,,1,9,2,2,2,3,3,2,2,2,7,6,1,3,4,6,1,2,1,4,3,3,5,9,1,4,1,2,1,1,5,3,6,,,,,,,,,,,11,,,1,1,,,,,,,,,,11,,,,,,4,2,3,,,,1,3,1,1,1,1,1,1,3,1,1,2,2,2,3,3,8,8,4,5,8,6,6,417,,1,,,,,5,,8,6,2,2,4,3,3,2,4,1964,58,5,20,1,4,2,75,3,1,2,3,1,1,8,2,,.61324972,.70169562,.67793018
05 Dec 22,05 Dec 22,20,1045.473,27,2,1,sv,1,3,2,,8,,13,207,41,12,2,0,2,0,0,1,,,,,,6,1,8,2,2,3,3,3,1,2,1,6,7,1,5,6,7,1,0,2,5,5,4,5,8,3,2,2,1,1,1,4,4,3,,,,,,,7,8,,,,,,1,1,,,,,,,8,,10,11,,13,,,,5,2,4,,,,1,998,2,3,2,2,4,3,3,1,5,5,3,2,4,6,2,2,6,3,1,8,2,376,,5,1,2,3,4,,,9,7,1,5,5,3,2,3,10,1986,36,3,41,1,6,2,134,1,1,2,1,8,1,3,2,,.98542941,.79394674,1.1648675
05 Dec 22,05 Dec 22,21,1721.537,10,2,1,fr,1,1,2,,4,,14,14,,0,0,0,0,0,0,1,,,,,,6,,,,2,3,3,3,2,3,2,3,5,1,5,3,4,1,1,2,3,3,2,2,,1,2,1,2,1,1,6,4,2,,,,,,,,,,,11,,,1,,,3,,,,,8,,,11,,,,,,,,,,,,2,2,1,1,1,1,1,1,1,1,1,4,6,3,6,6,1,1,2,10,1,1,5,998,,1,,,,,5,,10,8,2,2,5,3,3,2,5,1955,67,6,14,2,4,1,40,2,6,,,,3,4,2,,1.2248534,1.7345898,.3847349
05 Dec 22,05 Dec 22,22,1248.189,21,2,2,pl,1,3,2,,6,,33,33,33,34,2,0,1,1,0,1,1,,,,,,1,5,2,2,3,3,3,2,3,1,5,6,1,10,3,5,1,2,1,5,2,5,5,10,1,2,1,2,2,1,5,4,1,,,,,,,,,,,11,,,2,1,2,,,,,,,,,11,,,,,,4,3,5,,,,1,3,3,4,2,3,5,4,4,1,5,2,5,3,2,4,10,5,6,5,2,4,2,340,,2,,,,,5,,7,6,2,5,5,2,3,2,11,1988,34,2,33,1,4,2,103,1,1,2,7,4,1,4,1,3,3.0000999,3.000098,1.2538897
05 Dec 22,05 Dec 22,23,1650.217,10,2,1,fr,1,3,2,,10,,14,14,14,43,0,4,0,0,0,3,,,,,,6,,,,1,3,3,3,1,2,1,4,5,1,5,2,4,1,4,2,3,3,3,4,9,2,4,2,1,1,1,4,5,,,,3,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,3,1,1,1,1,3,2,2,1,1,4,6,6,5,3,5,3,2,8,10,10,2,168,,3,,,,,5,,5,7,4,2,4,1,3,1,10,1948,74,6,14,1,8,1,36,3,6,,,,3,6,2,,.45112637,.54023266,.80283248
05 Dec 22,05 Dec 22,24,2067.969,10,2,2,fr,1,3,2,,8,,14,14,14,30,0,2,0,0,0,1,1,2,,,,,,,,1,3,2,2,2,3,2,2,5,1,5,2,5,1,3,1,2,2,3,2,4,1,2,1,2,1,2,4,4,4,,2,3,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,1,1,1,1,2,1,1,3,6,3,3,6,6,4,3,6,3,3,5,171,,1,,,3,,,,7,8,2,2,5,3,3,2,1,1946,76,6,14,1,4,2,36,1,6,,,,1,5,999,,2.2747142,1.7756546,.80283248
05 Dec 22,05 Dec 22,25,1382.8199,27,2,1,sv,1,1,998,,998,,41,41,,16,0,0,0,1,0,,,,,,,6,,,,1,3,3,3,1,1,1,4,5,1,5,7,7,1,25,2,5,5,5,5,,5,4,3,1,1,1,7,5,,,,,,5,,7,8,,,,,,1,,,,,,,,,,,,,,,,,,,,5,1,1,2,3,2,4,2,5,6,5,7,2,6,5,3,4,3,3,5,5,8,10,9,5,8,998,,1,,,,,5,,10,10,1,5,5,2,3,1,1,2006,16,1,41,999,3,3,135,2,2,,,,998,999,999,,1.8683223,2.1078982,1.2247224
05 Dec 22,05 Dec 22,26,380.771,27,2,2,sv,1,3,3,7,,,41,41,41,3,3,0,2,1,0,,1,2,,,,,1,7,2,1,3,1,3,1,1,1,6,7,1,5,7,6,1,5,2,4,2,4,2,10,7,7,5,2,2,1,4,5,,,,,,,,,,,,11,,,1,,,,,,,,,,,,,,,,,4,2,2,,,,1,2,5,6,5,3,6,8,8,5,5,3,2,2,3,4,2,8,1,6,5,5,6,374,,2,1,,,,,,9,10,2,2,3,1,2,1,1,2000,22,1,41,4,4,2,134,3,1,1,8,1,1,4,2,,1.6645005,.79776692,1.2247224
05 Dec 22,05 Dec 22,27,706.25,21,2,1,pl,1,999,3,6,,,33,33,,30,0,0,0,0,1,1,1,2,,,,,,7,3,1,3,3,3,3,3,1,4,7,999,,4,7,1,6,3,999,999,3,4,,3,2,2,1,1,1,5,3,6,,,,,,,,,,,11,,,1,1,2,,,,,7,,,,11,,,,,,4,4,,,,,1,2,3,4,4,4,4,6,6,5,7,3,4,4,4,4,6,7,4,7,4,7,3,338,,2,,,3,,,,7,7,2,1,2,2,1,1,2,1990,32,2,33,1,998,1,106,2,1,3,1,4,2,3,2,,1.2905183,1.4465499,.62694484
05 Dec 22,05 Dec 22,28,1141.657,15,2,1,it,1,3,2,,7,,20,20,20,58,0,2,0,0,0,2,,,,,,6,1,7,1,2,2,2,3,2,2,1,5,6,1,5,4,5,1,5,2,4,4,4,4,7,3,3,3,2,2,2,6,3,6,,,,,,,7,8,,,,,,1,1,,,,,,,,9,,,,,,,,4,2,2,,,,1,3,2,1,1,1,3,1,2,1,4,3,4,3,3,5,4,3,5,8,8,8,5,999,,1,,,,,5,,10,10,2,2,2,2,2,2,12,1963,59,5,20,1,4,2,76,2,1,2,1,8,1,4,2,,1.0602565,.7165755,.67793018
05 Dec 22,05 Dec 22,29,1303.484,27,2,2,sv,1,1,2,,3,,41,41,,40,0,0,0,0,0,1,,,,,,6,1,8,2,2,2,2,3,3,1,2,2,2,1,3,4,5,1,2,2,1,1,2,1,,5,1,1,3,2,3,4,3,7,,,,,,,,,,,11,,,1,,,,,,,,,9,,,,,,,,997,997,997,,,,1,3,2,2,1,4,1,2,1,7,6,1,4,3,2,3,6,9,5,9,10,8,9,379,,4,1,2,,4,,,3,10,4,5,5,3,3,1,8,1982,40,3,41,1,7,1,134,2,1,1,7,6,1,1,1,2,1.0621541,2.0469522,1.1648675
05 Dec 22,05 Dec 22,30,1237.184,15,2,1,it,1,3,2,,7,,20,20,20,69,0,1,0,2,0,2,,2,,,,,,,,1,3,3,3,1,1,1,7,7,1,8,6,7,1,20,2,5,5,5,5,10,1,5,1,1,1,1,7,5,,,,,,,,,,,,11,,,1,,,,,,,,,,,,,,,,,,,,,,,2,1,3,1,1,3,1,1,5,1,3,5,5,3,5,6,1,1,11,8,1,7,6,999,,2,,,,,5,,10,10,1,1,3,3,3,2,2,1953,69,6,20,1,4,2,75,2,6,,,,3,4,2,,2.4023075,1.719044,.97211981
29 Nov 22,05 Dec 22,31,884.43298,10,2,1,fr,1,1,2,,2,,132,132,,23,0,0,0,0,0,,,,,,,6,,,,1,2,2,2,3,3,2,3,4,1,5,5,7,1,4,2,2,2,2,1,,1,2,1,2,2,2,7,2,6,1,,3,,,,,,,,,,,2,,2,,,,,,,,10,11,,,,,,,,,3,3,5,1,2,2,2,1,5,4,6,6,1,1,1,3,3,2,2,6,6,8,3,2,8,4,998,,4,,,3,4,,,3,3,4,5,5,4,2,2,4,1999,23,1,14,3,8,3,36,3,2,,,,4,2,2,,2.1288531,1.7215554,1.5605055
05 Dec 22,05 Dec 22,32,1444.735,27,2,2,sv,1,3,3,9,,,13,13,41,31,2,4,0,0,0,3,,2,,,5,,1,8,3,2,3,3,3,1,1,2,4,7,1,2,3,7,1,1,1,5,5,5,5,9,2,3,2,3,1,1,5,4,2,,,,,,6,,,9,,,,,1,,2,,,,,,,,,11,,13,,,,997,2,3,,,,1,2,2,3,2,2,2,4,2,1,4,5,6,5,5,6,8,6,5,7,4,8,7,380,,2,,,,,5,,8,8,2,1,4,2,3,2,7,1960,62,5,41,1,4,3,133,1,1,1,5,10,1,6,2,,.79135978,.46855763,.93926126
05 Dec 22,05 Dec 22,33,839.45398,27,2,2,sv,1,3,2,,9,,40,40,41,10,2,0,2,0,0,1,,,,,,6,,,,2,3,3,3,1,1,1,5,7,1,20,5,7,1,12,1,5,4,3,4,3,1,2,2,1,1,1,5,4,3,,2,3,,,,7,8,9,,,,,2,1,,,,,,,,,10,11,,,,,,,,,,,,1,1,2,3,4,1,4,4,4,1,4,3,4,2,4,4,3,2,2,8,2,5,7,377,,2,,,,,5,,4,3,1,2,4,2,3,2,1,1984,38,3,40,1,6,2,134,2,7,,,,1,1,2,,.91932398,.61896801,1.1648675
05 Dec 22,05 Dec 22,34,705.198,27,2,1,sv,1,3,2,,10,,41,41,41,5,3,0,2,1,0,1,,2,,,,,,9,1,1,3,3,3,3,3,2,4,4,1,4,2,3,1,0,4,2,3,1,3,6,1,2,2,2,1,1,2,5,,,,,,,,7,8,,,,,,1,,,,,,,,,,,,,,,,,4,3,,,,,1,3,3,3,2,3,3,3,3,5,2,5,6,4,6,5,3,7,4,4,6,9,4,375,,3,,,,,5,,7,4,2,4,5,2,3,1,3,1986,36,3,41,999,4,2,134,2,1,999,999,999,998,999,999,,1.2537706,.87010598,1.1648675
05 Dec 22,05 Dec 22,35,1482.224,15,2,1,it,1,3,2,,7,,20,20,20,64,0,1,0,0,0,3,,2,,,,,,,,2,3,3,3,2,2,1,6,7,1,3,5,7,1,3,1,5,5,4,5,7,5,3,5,1,1,1,6,4,3,,,,,,,,8,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,1,2,2,2,2,2,3,1,2,1,3,3,6,3,5,6,7,3,3,7,3,8,2,234,,1,,,,,5,,9,7,2,2,4,3,1,2,4,1958,64,5,20,1,7,1,77,3,6,,,,3,5,1,3,.086168617,.0485861,.33896509
05 Dec 22,05 Dec 22,36,1067.2209,15,2,1,it,1,4,3,7,,,20,20,,57,0,2,0,0,0,1,,2,,,,,,8,2,2,3,3,3,2,1,1,2,7,1,3,2,7,1,3,6,3,3,5,1,,1,3,2,2,1,1,6,5,,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,5,1,,,,,1,1,1,1,1,1,1,1,2,1,4,5,6,4,6,6,7,8,7,7,6,7,7,417,,1,,2,,,,,7,8,2,2,5,2,3,2,6,1959,63,5,20,1,4,2,77,2,1,3,3,8,2,5,2,,.83345771,.49836266,.67793018
05 Dec 22,05 Dec 22,37,966.61798,10,2,1,fr,1,3,2,,5,,14,14,14,5,0,0,0,0,4,1,,2,,,,,1,6,2,2,3,3,3,1,1,1,3,4,1,5,6,7,1,6,6,2,3,5,5,7,4,4,5,1,1,2,5,3,4,1,,,,,,7,8,9,,,,,2,1,2,,,5,,,,,,11,,,,,,4,1,1,,,,1,2,2,5,1,3,3,6,5,2,5,2,2,4,2,3,3,2,2,1,8,999,5,170,,1,,,,,5,,6,5,1,5,5,2,2,1,4,1992,30,2,158,2,9,5,46,2,1,2,1,8,1,6,2,,.79185665,.65961206,1.3381872
05 Dec 22,05 Dec 22,38,1671.2729,27,2,1,sv,1,3,2,,7,,41,41,41,12,2,0,1,1,0,1,,,,,,6,,,,1,1,2,2,2,3,2,3,5,999,,4,6,1,1,5,4,4,3,5,8,1,3,999,3,3,3,6,3,8,,,,,,,,,,,,999,,2,,,,,,,,,,,,12,,,,,,,,,,,1,3,2,5,2,4,2,6,4,1,6,4,2,3,2,4,3,4,2,9,2,5,9,378,,2,1,,,,,,7,7,2,5,5,2,3,2,5,1990,32,2,41,1,7,2,134,2,7,,,,1,2,2,,.98274553,.59644413,1.1433755
05 Dec 22,05 Dec 22,39,907.52002,15,2,2,it,1,3,2,,998,,20,20,20,34,0,0,0,0,0,2,,,,,,6,,2,3,2,2,1,3,2,2,1,3,7,1,3,3,6,1,5,6,4,4,4,5,8,1,2,2,2,1,1,7,3,10,,,,,,,,,,,11,,,998,,,,,5,,,,,,,,,,,,4,2,,,,,1,3,3,3,3,4,4,6,5,5,5,1,2,1,2,4,1,5,5,6,8,5,7,238,,2,1,,,,,,9,9,4,2,4,3,1,2,4,1988,34,2,20,1,4,2,78,3,1,3,998,998,1,5,2,,1.5490285,1.5268414,.56985843
